InningNumber,OverNumber,BallNumber,IsWicket,IsWide,IsNoBall,IsByes,IsLegByes,IsFreeHit,IsPowerPlay,IsBattingPowerPlay,TeamRuns,RunsByes,RunsConceded,RunsWide,RunsLegByes,TotalRuns
2,5,4,0,0,0,0,0,0,1,0,1,0,1,0,0,122
2,5,5,0,0,0,0,0,0,1,0,4,0,4,0,0,122
2,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,122
2,6,2,0,0,0,0,0,0,1,0,1,0,1,0,0,122
2,6,3,0,0,0,0,0,0,1,0,1,0,1,0,0,122
2,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,122
2,6,5,0,0,0,0,0,0,1,0,0,0,0,0,0,122
2,6,6,0,0,0,0,0,0,1,0,4,0,4,0,0,122
2,7,1,0,0,0,0,0,0,0,0,1,0,1,0,0,122
2,7,2,0,0,0,0,0,0,0,0,2,0,2,0,0,122
2,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,122
2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,122
2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,122
2,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,122
2,8,1,0,0,0,0,0,0,0,0,1,0,1,0,0,122
2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,122
2,8,3,0,0,0,0,0,0,0,0,2,0,2,0,0,122
2,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,122
2,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,122
2,8,6,0,0,0,0,0,0,0,0,1,0,1,0,0,122
2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122
2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,122
2,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,122
2,9,4,0,0,0,0,0,0,0,0,4,0,4,0,0,122
2,9,5,0,1,0,0,0,0,0,0,0,0,2,2,0,122
2,9,6,0,0,0,0,0,0,0,0,1,0,1,0,0,122
2,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,122
2,10,1,0,0,0,0,0,0,0,0,1,0,1,0,0,122
2,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,122
2,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,122
2,10,4,0,0,0,0,0,0,0,0,1,0,1,0,0,122
2,10,5,0,0,0,0,0,0,0,0,1,0,1,0,0,122
2,10,6,0,0,0,0,0,0,0,0,1,0,1,0,0,122
2,11,1,0,0,0,0,0,0,0,0,1,0,1,0,0,122
2,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,122
2,11,3,0,0,0,0,0,0,0,0,2,0,2,0,0,122
2,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,122
2,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,122
2,11,6,0,0,0,0,0,0,0,0,1,0,1,0,0,122
2,12,1,0,0,0,0,0,0,0,0,1,0,1,0,0,122
